"X","Title","Desc","Type","BodyPart","Equipment","Level","Rating","RatingDesc"
0,"Partner plank band row","The partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the opposite ends of an exercise band. This technique can be done for time or reps in any ab-focused workout.","Strength","Abdominals","Bands","Intermediate",0,""
1,"Band Hip Adductions","","Strength","Adductors","Bands","Beginner",8.6,"Average"
2,"Incline dumbbell biceps curl","The incline dumbbell biceps curl is an exercise targeting the biceps and performed face up on an incline bench. This creates a vertical arm angle, which helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.","Strength","Biceps","Bands","Intermediate",,""
3,"Calf Raises - With Bands","","Strength","Calves","Bands","Beginner",4.8,"Average"
4,"Cross Over - With Bands","","Strength","Chest","Bands","Beginner",8.3,"Average"
5,"Standing alternating band speed row","The standing alternating band speed row is an explosive back exercise using exercise bands. It targets the muscles of the middle and upper back, including the lats (latissimus dorsi), rhomboids, and trapezius, as well as the biceps. It can be performed for time or reps either as part of a power or speed-focused portion of a workout or as a burnout at the end of a workout.","Strength","Forearms","Bands","Intermediate",,""
6,"Hip Extension with Bands","","Strength","Glutes","Bands","Beginner",7.2,"Average"
7,"Band Good Morning (Pull Through)","","Powerlifting","Hamstrings","Bands","Beginner",8.3,"Average"
8,"Band-assisted pull-up","The band-assisted pull-up is a variation of the pull-up exercise in which the reps are performed with an elastic band looped around the feet or knees. This reduces weight and resistance at the bottom of the rep, while increasing it toward the top. Like other pull-up variations, it builds strength and muscle in the upper back, biceps, and core, and is often used as a way to help people boost their pull-up numbers or perform their first rep.","Strength","Lats","Bands","Intermediate",7.6,"Average"
9,"Band good morning-","The band good morning is an exercise targeting the hamstrings and glutes. It is often performed in powerlifting-style training for high reps, or in the place of barbell good mornings.","Strength","Lower Back","Bands","Intermediate",,""
10,"Partner Facing Feet-Elevated Side Plank With Band Row","","Strength","Middle Back","Bands","Beginner",0,""
11,"Lying Face Down Plate Neck Resistance","","Strength","Neck","Other","Beginner",9.3,"Average"
12,"Single-leg depth squat","The single-leg depth squat is an exercise targeting the muscles of the lower body, including the quads, glutes, and hamstrings. It is sometimes used as a substitute for the pistol squat, since it doesn't demand the same level of flexibility to perform. It is usually performed for low to moderate reps with a focus on proper form and control.","Strength","Quadriceps","Bands","Intermediate",9,"Average"
13,"Internal Rotation with Band","","Strength","Shoulders","Bands","Beginner",8.3,"Average"
14,"Upright Row - With Bands","","Strength","Traps","Bands","Beginner",7.8,"Average"
15,"Band overhead triceps press","The band overhead triceps press is a dynamic arm exercise utilizing a looped exercise band. It could also be performed with an exercise band with handles. It targets the triceps muscles and can be performed for time or reps, either in traditional muscle-building rep ranges such as 12-15 reps per set, or higher rep ranges such as 30, 50, or more.","Strength","Triceps","Bands","Intermediate",0,""
16,"30 Barbell Floor Wiper","The barbell floor wiper is a core exercise in which the barbell is held in the locked-out position of a floor press, and the hips and legs are rotated side to side. It targets the oblique muscles of the lateral abdomen, but is also seriously challenging to the deep core and rectus abdominis or ""six-pack"" muscles.","Strength","Abdominals","Barbell","Intermediate",,""
17,"30 Barbell Roll-Out","The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.","Strength","Abdominals","Barbell","Intermediate",,""
18,"Decline plate sit-up","The decline plate sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.","Strength","Abdominals","Barbell","Intermediate",,""
19,"KV Barbell Hip Thrust","","Strength","Abdominals","Barbell","Intermediate",,""
20,"Advanced Kettlebell Windmill","","Strength","Abdominals","Kettlebells","Beginner",8.3,"Average"
21,"Kettlebell Windmill","The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue.","Strength","Abdominals","Kettlebells","Intermediate",7.7,"Average"
22,"Kettlebell Pass Between The Legs","","Strength","Abdominals","Kettlebells","Beginner",7.3,"Average"
23,"Kettlebell 3-point leg extension","The kettlebell 3-point leg extension is a dynamic core exercise performed around and over a kettlebell or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, but targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a kettlebell and bodyweight circuit workout.","Strength","Abdominals","Kettlebells","Intermediate",0,""
24,"Double Kettlebell Swing","","Strength","Abdominals","Kettlebells","Intermediate",,""
25,"Burpee over kettlebell","The burpee over kettlebell is a more advanced version of a popular conditioning exercise. If you're performing a circuit that already has both burpees and kettlebell movements, it's a simple way to provide a novel stimulus to the muscles of the lower body and create a more athletic style of training.","Strength","Abdominals","Kettlebells","Intermediate",,""
26,"Kettlebell toe-touch","The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. The simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training.","Strength","Abdominals","Kettlebells","Intermediate",,""
27,"Kettlebell swing","The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift.","Strength","Abdominals","Kettlebells","Intermediate",,""
28,"Two-way swing","The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""American"" swing). Both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. This combo can be performed for time or reps and works especially well in circuit-style or full-body training. If you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing.","Strength","Abdominals","Kettlebells","Intermediate",,""
29,"Kettlebell crab reach","The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core.","Strength","Abdominals","Kettlebells","Intermediate",,""
31,"Holman Kettlebell Up to Elbow Down","","Strength","Abdominals","Kettlebells","Intermediate",,""
33,"FYR2 Kettlebell Hike","","Strength","Abdominals","Kettlebells","Intermediate",,""
34,"FYR2 Kettlebell Cross-Body Catch","","Strength","Abdominals","Kettlebells","Intermediate",,""
36,"FYR2 Kettlebell Get-Up Reach","","Strength","Abdominals","Kettlebells","Intermediate",,""
91,"Plate Twist","","Strength","Abdominals","Other","Beginner",9,"Average"
92,"Weighted Crunches","The weighted suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training.","Strength","Abdominals","Other","Intermediate",8.9,"Average"
93,"Ab Roller","The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.","Strength","Abdominals","Other","Intermediate",8.9,"Average"
