No,Title,BodyPart
0,Partner plank band row,Abdominals
1,Band Hip Adductions,Adductors
2,Incline dumbbell biceps curl,Biceps
3,Calf Raises - With Bands,Calves
4,Cross Over - With Bands,Chest
5,Standing alternating band speed row,Forearms
6,Hip Extension with Bands,Glutes
7,Band Good Morning (Pull Through),Hamstrings
8,Band-assisted pull-up,Lats
9,Band good morning-,Lower Back
10,Partner Facing Feet-Elevated Side Plank With Band Row,Middle Back
11,Lying Face Down Plate Neck Resistance,Neck
12,Single-leg depth squat,Quadriceps
13,Internal Rotation with Band,Shoulders
14,Upright Row - With Bands,Traps
15,Band overhead triceps press,Triceps
16,30 Barbell Floor Wiper,Abdominals
17,30 Barbell Roll-Out,Abdominals
18,Decline plate sit-up,Abdominals
19,KV Barbell Hip Thrust,Abdominals
20,Advanced Kettlebell Windmill,Abdominals
21,Kettlebell Windmill,Abdominals
22,Kettlebell Pass Between The Legs,Abdominals
23,Kettlebell 3-point leg extension,Abdominals
24,Double Kettlebell Swing,Abdominals
25,Burpee over kettlebell,Abdominals
26,Kettlebell toe-touch,Abdominals
27,Kettlebell swing,Abdominals
28,Two-way swing,Abdominals
29,Kettlebell crab reach,Abdominals
30,Taylor Single-Arm Kettlebell Swing,Abdominals
31,Holman Kettlebell Up to Elbow Down,Abdominals
32,FYR2 Double-Kettlebell Ski,Abdominals
33,FYR2 Kettlebell Hike,Abdominals
34,FYR2 Kettlebell Cross-Body Catch,Abdominals
35,FYR2 Kettlebell Duck Walk,Abdominals
36,FYR2 Kettlebell Get-Up Reach,Abdominals
37,FYR2 Kettlebell Juggle,Abdominals
38,FYR2 Squat-Clean-Alternating-Press Complex,Abdominals
39,Dumbbell V-Sit Cross Jab,Abdominals
40,Dumbbell spell caster,Abdominals
41,Dumbbell side bend,Abdominals
42,Dumbbell crunch,Abdominals
43,Dumbbell Fix Dumbbell Sprawl,Abdominals
44,Dumbbell Fix Alternating Renegade Row,Abdominals
45,Dumbbell Fix Dumbbell Mountain Climber,Abdominals
46,Dumbbell Fix Dumbbell Russian Twist,Abdominals
47,Dumbbell Fix Dumbbell Pull-Over,Abdominals
48,Dumbbell Fix Dumbbell Sit-Up,Abdominals
49,Dumbbell Fix Dumbbell Front Squat,Abdominals
50,Dumbbell Fix Full Man Maker,Abdominals
51,Dumbbell T-hold,Abdominals
52,Dumbbell hollow-body floor press,Abdominals
53,Dumbbell crusher,Abdominals
54,Dumbbell Crunch - Gethin Variation,Abdominals
55,Single-arm dumbbell crunch,Abdominals
56,HM Alternating Dumbbell Plank Row,Abdominals
57,Dumbbell straight-legged hip raise,Abdominals
58,Seated leg tuck with dumbbell,Abdominals
59,Dumbbell V-sit cross jab-,Abdominals
60,30 Hanging Leg Raise With Dumbbell,Abdominals
61,Dumbbell Get-Up Sit-Up,Abdominals
62,Holman Right Side Plank with Left Triceps Press,Abdominals
63,Holman Left Side Plank with Right Triceps Press,Abdominals
64,Holman Boat with Feet Push-Out and Overhead Press,Abdominals
65,Holman Hovering Plank Row,Abdominals
66,Holman Weighted Seated Killer Abs to Russian Twist,Abdominals
